County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,953",86.1%
Carlsbad,50,2.2%
Chula Vista,251,11.1%
Coronado,6,0.3%
Del Mar,11,0.5%
El Cajon,128,5.6%
Encinitas,34,1.5%
Escondido,67,3.0%
Imperial Beach,14,0.6%
La Mesa,47,2.1%
Lemon Grove,19,0.8%
National City,64,2.8%
Oceanside,52,2.3%
Poway,21,0.9%
San Diego,"1,098",48.4%
San Marcos,27,1.2%
Santee,24,1.1%
Solana Beach,6,0.3%
Vista,34,1.5%
Unincorporated,292,12.9%
Alpine,2,0.1%
Bonita,15,0.7%
Bonsall,1,0.04%
Borrego Springs,1,0.04%
Boulevard,1,0.04%
Campo,0,0.00%
Descanso,1,0.04%
Fallbrook,10,0.4%
Jamul,6,0.3%
Julian,1,0.04%
Lakeside,18,0.8%
Pauma Valley,2,0.1%
Potrero,2,0.1%
Ramona,11,0.5%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.6%
Spring Valley,60,2.6%
Valley Center,4,0.2%
Other,141,6.2%
Unknown*,23,1.0%
Total San Diego County Residents,"2,268",100.0%
