County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"2,004",86.2%
Carlsbad,50,2.2%
Chula Vista,258,11.1%
Coronado,7,0.3%
Del Mar,11,0.5%
El Cajon,132,5.7%
Encinitas,34,1.5%
Escondido,71,3.1%
Imperial Beach,14,0.6%
La Mesa,49,2.1%
Lemon Grove,19,0.8%
National City,66,2.8%
Oceanside,53,2.3%
Poway,21,0.9%
San Diego,"1,127",48.5%
San Marcos,27,1.2%
Santee,24,1.0%
Solana Beach,6,0.3%
Vista,35,1.5%
Unincorporated,300,12.9%
Alpine,2,0.1%
Bonita,15,0.6%
Bonsall,1,0.0%
Borrego Springs,1,0.0%
Boulevard,2,0.1%
Campo,0,0.0%
Descanso,1,0.0%
Fallbrook,11,0.5%
Jamul,6,0.3%
Julian,2,0.1%
Lakeside,18,0.8%
Pauma Valley,2,0.1%
Potrero,2,0.1%
Ramona,12,0.5%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.6%
Spring Valley,61,2.6%
Valley Center,4,0.2%
Other,144,6.2%
Unknown*,21,0.9%
Total San Diego County Residents,"2,325",100.0%
