County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,400",86.0%
Carlsbad,43,2.6%
Chula Vista,154,9.5%
Coronado,5,0.3%
Del Mar,8,0.5%
El Cajon,93,5.7%
Encinitas,32,2.0%
Escondido,39,2.4%
Imperial Beach,10,0.6%
La Mesa,30,1.8%
Lemon Grove,14,0.9%
National City,32,2.0%
Oceanside,34,2.1%
Poway,16,1.0%
San Diego,821,50.4%
San Marcos,21,1.3%
Santee,17,1.0%
Solana Beach,5,0.3%
Vista,26,1.6%
Unincorporated,208,12.8%
Alpine,1,0.1%
Bonita,13,0.8%
Borrego Springs,1,0.1%
Boulevard,1,0.1%
Descanso,1,0.1%
Fallbrook,7,0.4%
Jamul,4,0.2%
Lakeside,13,0.8%
Pauma Valley,2,0.1%
Ramona,10,0.6%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.9%
Spring Valley,39,2.4%
Valley Center,3,0.2%
Other,97,6.0%
Unknown*,20,1.2%
Total San Diego County Residents,"1,628",100.0%
