Zip Code,Count,"Rate per 100,000*"
91901,4,**
91902,30,172.7
91905,2,**
91910,135,163.3
91911,181,213.9
91913,79,159.5
91914,17,99.6
91915,44,147.7
91916,1,**
91932,26,92.3
91935,7,**
91941,22,64.2
91942,57,141.9
91945,36,134.2
91950,139,237.2
91963,2,**
91977,89,145.8
91978,10,**
91980,1,**
92003,2,**
92004,2,**
92007,4,**
92008,12,40.8
92009,19,43.8
92010,13,79.7
92011,10,41.9
92014,17,123.3
92019,57,128.7
92020,104,168.1
92021,116,170.8
92024,30,53.1
92025,51,99.0
92026,21,37.6
92027,39,72.8
92028,13,26.9
92029,14,68.4
92036,2,**
92037,33,77.5
92040,29,65.9
92054,17,40.5
92056,14,25.7
92057,28,49.8
92058,17,69.3
92059,2,**
92061,1,**
92064,32,63.6
92065,17,47.7
92066,2,**
92067,11,**
92069,15,30.2
92070,1,**
92071,34,59.8
92075,5,38.4
92078,20,40.2
92081,17,51.8
92082,6,34.4
92083,18,44.9
92084,26,52.7
92091,2,**
92093,4,**
92101,59,100.6
92102,54,125.7
92103,89,228.9
92104,57,109.6
92105,99,145.5
92106,9,40.9
92107,9,29.3
92108,37,134.9
92109,33,61.5
92110,32,106.9
92111,30,62.1
92113,114,225.9
92114,100,170.0
92115,60,96.5
92116,44,119.1
92117,34,65.4
92118,8,44.6
92119,17,71.6
92120,23,79.3
92121,3,**
92122,21,43.3
92123,27,82.1
92124,18,57.7
92126,66,86.1
92127,40,80.6
92128,48,94.7
92129,29,55.2
92130,32,53.8
92131,13,36.2
92134,1,**
92136,4,**
92139,58,175.1
92140,33,**
92145,4,**
92154,336,411.5
92173,109,392.9
Unknown***,55,**
San Diego County Total,"3,564",106.8
