County of San Diego,Count,Percentage* of Total,"Rate per 100,000 population**"
Incorporated City,"2,878",84.9%,101.9
Carlsbad,52,1.5%,45.4
Chula Vista,435,12.8%,162.6
Coronado,8,0.2%,36.9
Del Mar,12,0.4%,***
El Cajon,194,5.7%,183.8
Encinitas,35,1.0%,55.4
Escondido,105,3.1%,69.3
Imperial Beach,25,0.7%,88.8
La Mesa,74,2.2%,120.8
Lemon Grove,35,1.0%,130.4
National City,124,3.7%,199.2
Oceanside,72,2.1%,40.6
Poway,31,0.9%,61.7
San Diego,"1,558",46.0%,109.7
San Marcos,30,0.9%,31.3
Santee,31,0.9%,54.4
Solana Beach,6,0.2%,43.0
Vista,51,1.5%,49.3
Unincorporated,512,15.1%,99.8
Alpine,4,0.1%,***
Bonita,25,0.7%,199.4
Bonsall,2,0.1%,***
Borrego Springs,1,0.0%,***
Boulevard,2,0.1%,***
Campo,0,0.0%,***
Descanso,1,0.0%,***
Fallbrook,15,0.4%,49.1
Jamul,7,0.2%,***
Julian,2,0.1%,***
Lakeside,24,0.7%,116.2
Pala,2,0.1%,***
Pauma Valley,1,0.0%,***
Potrero,2,0.1%,***
Ramona,16,0.5%,78.8
Ranchita,2,0.1%,***
Rancho Santa Fe,14,0.4%,***
Santa Ysabel,1,0.0%,***
Spring Valley,92,2.7%,326.2
Tecate,1,0.0%,***
Valley Center,6,0.2%,***
Other,292,8.6%,
Unknown****,42,,
Total San Diego County,"3,432",100.0%,102.8
