Zip Code,Count,"Rate per 100,000*"
91901,4,**
91902,28,161.2
91905,2,**
91910,124,150.0
91911,171,202.1
91913,76,153.5
91914,17,99.6
91915,44,147.7
91916,1,**
91932,25,88.8
91935,7,**
91941,22,64.2
91942,57,141.9
91945,35,130.4
91950,128,218.4
91963,2,**
91977,82,134.3
91978,10,**
91980,1,**
92003,2,**
92004,1,**
92007,4,**
92008,11,37.4
92009,18,41.5
92010,13,79.7
92011,10,41.9
92014,17,123.3
92019,58,130.9
92020,103,166.5
92021,114,167.8
92024,31,54.8
92025,48,93.2
92026,20,35.8
92027,39,72.8
92028,14,29.0
92029,14,68.4
92036,2,**
92037,35,82.2
92040,24,54.6
92054,16,38.1
92056,14,25.7
92057,27,48.0
92058,17,69.3
92059,2,**
92061,1,**
92064,31,61.6
92065,16,44.9
92066,2,**
92067,12,**
92069,15,30.2
92070,1,**
92071,30,52.8
92075,5,38.4
92078,19,38.1
92081,17,51.8
92082,6,34.4
92083,16,40.0
92084,26,52.7
92091,2,**
92093,4,**
92101,56,95.5
92102,51,118.7
92103,87,223.8
92104,53,101.9
92105,92,135.2
92106,9,40.9
92107,9,29.3
92108,38,138.5
92109,34,63.3
92110,32,106.9
92111,29,60.0
92113,106,210.1
92114,91,154.7
92115,60,96.5
92116,44,119.1
92117,34,65.4
92118,8,44.6
92119,18,75.8
92120,23,79.3
92121,3,**
92122,21,43.3
92123,27,82.1
92124,16,51.3
92126,62,80.9
92127,41,82.7
92128,47,92.7
92129,28,53.3
92130,33,55.5
92131,13,36.2
92134,1,**
92136,4,**
92139,54,163.1
92140,29,**
92145,4,**
92154,325,398.1
92173,102,367.7
Unknown***,55,**
San Diego County Total,"3,432",102.8
