County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,543",85.5%
Carlsbad,48,2.7%
Chula Vista,175,9.7%
Coronado,5,.3%
Del Mar,8,.4%
El Cajon,108,6.0%
Encinitas,34,1.9%
Escondido,50,2.8%
Imperial Beach,10,.6%
La Mesa,36,2.0%
Lemon Grove,15,.8%
National City,39,2.2%
Oceanside,37,2.1%
Poway,18,1.0%
San Diego,885,49.1%
San Marcos,22,1.2%
Santee,19,1.1%
Solana Beach,6,.3%
Vista,28,1.6%
Unincorporated,234,13.0%
Alpine,1,.1%
Bonita,14,.8%
Bonsall,1,.1%
Borrego Springs,1,.1%
Boulevard,1,.1%
Descanso,1,.1%
Fallbrook,9,.5%
Jamul,4,.2%
Lakeside,15,.8%
Pauma Valley,2,.1%
Ramona,10,.6%
Ranchita,2,.1%
Rancho Santa Fe,14,.8%
Spring Valley,45,2.5%
Valley Center,3,.2%
Other,111,6.2%
Unknown*,27,1.5%
Total San Diego County Residents,"1,804",100.0%
